lambda_um,component,amplitude,abs_amplitude,sign,prominence,left_um,right_um,width_um,rel_height,max_abs_in_component,evr_component,norm_prominence,score,suggested_FWHM_um,selected_for_set,selection_rank
7.336757153,E1,6.6174637772117615,6.6174637772117615,1,6.613784971628836,2.502070854443259,5.5142485145450655,3.0121776601018064,0.5,6.6174637772117615,0.7115982448183931,0.9994440762039992,0.7112026504209061,3.0121776601018064,True,1.0
7.86163522,E1,6.530518336926765,6.530518336926765,1,6.430804516205914,2.502073699916487,7.853567354279743,5.3514936543632565,0.5,6.6174637772117615,0.7115982448183931,0.9717929304503884,0.6915261436354191,5.0,True,2.0
8.250825083,E1,5.135192443059061,5.135192443059061,1,4.916761369056418,2.501674161615877,8.24618369541228,5.744509533796402,0.5,6.6174637772117615,0.7115982448183931,0.7429978515315837,0.5287159670537119,5.0,False,
12.18026797,E1,-3.703058360626252,3.703058360626252,-1,3.551937278540055,2.501205021880927,12.079248248109758,9.578043226228832,0.5,6.6174637772117615,0.7115982448183931,0.5367520545819516,0.3819518199431831,5.0,True,3.0
13.08900524,E1,-3.503311723826442,3.503311723826442,-1,3.2709200399967693,2.5011679703373417,13.009059001525815,10.507891031188473,0.5,6.6174637772117615,0.7115982448183931,0.4942860512906285,0.3517330865366255,5.0,True,4.0
8.802816901,E1,3.014070857700049,3.014070857700049,1,2.7695402654747943,2.5010187640951416,8.798746188690227,6.297727424595086,0.5,6.6174637772117615,0.7115982448183931,0.41851989806308054,0.2978180248832609,5.0,True,5.0
12.67427123,E2,5.646831211866628,5.646831211866628,1,5.6415373712951835,2.5017675600597826,12.630458516191862,10.128690956132079,0.5,5.646831211866628,0.2687181856618691,0.9990625112788355,0.2684662653936393,5.0,False,
14.3472023,E1,2.3851492137564865,2.3851492137564865,1,2.186651787738278,2.5008076824400667,13.984354943105552,11.483547260665485,0.5,6.6174637772117615,0.7115982448183931,0.33043653299143766,0.23513805690058207,5.0,True,6.0
4.957858205,E1,2.0362548212427383,2.0362548212427383,1,2.03297805458191,2.500637518891377,4.951576384505373,2.4509388656139954,0.5,6.6174637772117615,0.7115982448183931,0.3072140812591642,0.21861300100751643,2.4509388656139954,True,7.0
11.42857143,E1,-3.506177138991627,3.506177138991627,-1,1.8269305541253174,2.5016215334143816,11.378039584132873,8.876418050718492,0.5,6.6174637772117615,0.7115982448183931,0.2760771521586003,0.1964560169105204,5.0,True,8.0
4.666355576,E1,-1.36482884631319,1.36482884631319,-1,1.3319572543789506,2.5004368904075864,4.662682886271079,2.1622459958634925,0.5,6.6174637772117615,0.7115982448183931,0.20127911526554132,0.14322986514155822,2.1622459958634925,False,
4.784688995,E1,1.3904066866419538,1.3904066866419538,1,1.3208004097968535,2.5004563679321006,4.782954980794379,2.2824986128622786,0.5,6.6174637772117615,0.7115982448183931,0.1995931453898138,0.14203013193717384,2.2824986128622786,False,
9.578544061,E1,-2.488876789380108,2.488876789380108,-1,1.1442703651024724,2.5011985494560816,9.535726484168093,7.0345279347120115,0.5,6.6174637772117615,0.7115982448183931,0.1729167553652414,0.12304725961759723,5.0,True,9.0
8.431703204,E2,3.3662877718047275,3.3662877718047275,1,2.2412980359335224,2.5014043413106544,8.42807427271089,5.9266699314002365,0.5,5.646831211866628,0.2687181856618691,0.39691252524486814,0.1066576136502718,5.0,False,
10.79913607,E1,-3.267481721343765,3.267481721343765,-1,0.9768135745478768,2.501738156070392,10.55775060258357,8.056012446513177,0.5,6.6174637772117615,0.7115982448183931,0.1476114728291649,0.10504006498029166,5.0,True,10.0
10.2145046,E1,-2.913807086910305,2.913807086910305,-1,0.8897897775167309,2.501544061813184,9.908904799178652,7.407360737365468,0.5,6.6174637772117615,0.7115982448183931,0.1344608459483914,0.09568210197367165,5.0,True,11.0
8.810572687,E2,3.08787064122716,3.08787064122716,1,1.4583603132477285,2.5014750870488363,8.805508675988586,6.304033588939749,0.5,5.646831211866628,0.2687181856618691,0.25826171502754197,0.06939961948812376,5.0,False,
16.89189189,E1,1.076697208883543,1.076697208883543,1,0.6234648549500372,2.500478222322886,16.792281091553477,14.29180286923059,0.5,6.6174637772117615,0.7115982448183931,0.09421507634043012,0.06704328295928098,5.0,True,12.0
4.496402878,E1,-1.1376508692311629,1.1376508692311629,-1,0.5990462449986558,2.5005239605896357,4.488182963864161,1.9876590032745254,0.5,6.6174637772117615,0.7115982448183931,0.09052505086035563,0.06441746730432484,1.9876590032745254,False,
